Classifier,Noise Level,Seed,Metric,Value
Bagging,0.0,0,accuracy_score,0.7375
Bagging,0.0,0,precision_score,0.6857142857142857
Bagging,0.0,0,recall_score,0.7058823529411765
Bagging,0.0,0,f1_score,0.6956521739130435
Bagging,0.05,0,accuracy_score,0.75
Bagging,0.05,0,precision_score,0.6944444444444444
Bagging,0.05,0,recall_score,0.7352941176470589
Bagging,0.05,0,f1_score,0.7142857142857143
Bagging,0.1,0,accuracy_score,0.7
Bagging,0.1,0,precision_score,0.6666666666666666
Bagging,0.1,0,recall_score,0.5882352941176471
Bagging,0.1,0,f1_score,0.625
Bagging,0.15,0,accuracy_score,0.7375
Bagging,0.15,0,precision_score,0.7241379310344828
Bagging,0.15,0,recall_score,0.6176470588235294
Bagging,0.15,0,f1_score,0.6666666666666666
Bagging,0.2,0,accuracy_score,0.7
Bagging,0.2,0,precision_score,0.6388888888888888
Bagging,0.2,0,recall_score,0.6764705882352942
Bagging,0.2,0,f1_score,0.6571428571428571
MLP Classifier,0.0,0,accuracy_score,0.975
MLP Classifier,0.0,0,precision_score,1.0
MLP Classifier,0.0,0,recall_score,0.9411764705882353
MLP Classifier,0.0,0,f1_score,0.9696969696969697
MLP Classifier,0.05,0,accuracy_score,0.9625
MLP Classifier,0.05,0,precision_score,1.0
MLP Classifier,0.05,0,recall_score,0.9117647058823529
MLP Classifier,0.05,0,f1_score,0.9538461538461539
MLP Classifier,0.1,0,accuracy_score,0.975
MLP Classifier,0.1,0,precision_score,1.0
MLP Classifier,0.1,0,recall_score,0.9411764705882353
MLP Classifier,0.1,0,f1_score,0.9696969696969697
MLP Classifier,0.15,0,accuracy_score,0.9625
MLP Classifier,0.15,0,precision_score,1.0
MLP Classifier,0.15,0,recall_score,0.9117647058823529
MLP Classifier,0.15,0,f1_score,0.9538461538461539
MLP Classifier,0.2,0,accuracy_score,0.95
MLP Classifier,0.2,0,precision_score,0.96875
MLP Classifier,0.2,0,recall_score,0.9117647058823529
MLP Classifier,0.2,0,f1_score,0.9393939393939394
CatBoost,0.0,0,accuracy_score,0.7875
CatBoost,0.0,0,precision_score,0.717948717948718
CatBoost,0.0,0,recall_score,0.8235294117647058
CatBoost,0.0,0,f1_score,0.7671232876712328
CatBoost,0.05,0,accuracy_score,0.775
CatBoost,0.05,0,precision_score,0.7
CatBoost,0.05,0,recall_score,0.8235294117647058
CatBoost,0.05,0,f1_score,0.7567567567567568
CatBoost,0.1,0,accuracy_score,0.7875
CatBoost,0.1,0,precision_score,0.717948717948718
CatBoost,0.1,0,recall_score,0.8235294117647058
CatBoost,0.1,0,f1_score,0.7671232876712328
CatBoost,0.15,0,accuracy_score,0.7375
CatBoost,0.15,0,precision_score,0.6857142857142857
CatBoost,0.15,0,recall_score,0.7058823529411765
CatBoost,0.15,0,f1_score,0.6956521739130435
CatBoost,0.2,0,accuracy_score,0.7125
CatBoost,0.2,0,precision_score,0.6410256410256411
CatBoost,0.2,0,recall_score,0.7352941176470589
CatBoost,0.2,0,f1_score,0.684931506849315
Bagging,0.0,1,accuracy_score,0.8
Bagging,0.0,1,precision_score,0.8163265306122449
Bagging,0.0,1,recall_score,0.851063829787234
Bagging,0.0,1,f1_score,0.8333333333333334
Bagging,0.05,1,accuracy_score,0.7375
Bagging,0.05,1,precision_score,0.8095238095238095
Bagging,0.05,1,recall_score,0.723404255319149
Bagging,0.05,1,f1_score,0.7640449438202247
Bagging,0.1,1,accuracy_score,0.7375
Bagging,0.1,1,precision_score,0.825
Bagging,0.1,1,recall_score,0.7021276595744681
Bagging,0.1,1,f1_score,0.7586206896551724
Bagging,0.15,1,accuracy_score,0.8
Bagging,0.15,1,precision_score,0.8604651162790697
Bagging,0.15,1,recall_score,0.7872340425531915
Bagging,0.15,1,f1_score,0.8222222222222222
Bagging,0.2,1,accuracy_score,0.7125
Bagging,0.2,1,precision_score,0.7727272727272727
Bagging,0.2,1,recall_score,0.723404255319149
Bagging,0.2,1,f1_score,0.7472527472527473
MLP Classifier,0.0,1,accuracy_score,0.925
MLP Classifier,0.0,1,precision_score,0.9767441860465116
MLP Classifier,0.0,1,recall_score,0.8936170212765957
MLP Classifier,0.0,1,f1_score,0.9333333333333333
MLP Classifier,0.05,1,accuracy_score,0.9375
MLP Classifier,0.05,1,precision_score,1.0
MLP Classifier,0.05,1,recall_score,0.8936170212765957
MLP Classifier,0.05,1,f1_score,0.9438202247191011
MLP Classifier,0.1,1,accuracy_score,0.95
MLP Classifier,0.1,1,precision_score,0.9777777777777777
MLP Classifier,0.1,1,recall_score,0.9361702127659575
MLP Classifier,0.1,1,f1_score,0.9565217391304348
MLP Classifier,0.15,1,accuracy_score,0.95
MLP Classifier,0.15,1,precision_score,0.9777777777777777
MLP Classifier,0.15,1,recall_score,0.9361702127659575
MLP Classifier,0.15,1,f1_score,0.9565217391304348
MLP Classifier,0.2,1,accuracy_score,0.95
MLP Classifier,0.2,1,precision_score,0.9777777777777777
MLP Classifier,0.2,1,recall_score,0.9361702127659575
MLP Classifier,0.2,1,f1_score,0.9565217391304348
CatBoost,0.0,1,accuracy_score,0.85
CatBoost,0.0,1,precision_score,0.8571428571428571
CatBoost,0.0,1,recall_score,0.8936170212765957
CatBoost,0.0,1,f1_score,0.875
CatBoost,0.05,1,accuracy_score,0.825
CatBoost,0.05,1,precision_score,0.8367346938775511
CatBoost,0.05,1,recall_score,0.8723404255319149
CatBoost,0.05,1,f1_score,0.8541666666666666
CatBoost,0.1,1,accuracy_score,0.8125
CatBoost,0.1,1,precision_score,0.8478260869565217
CatBoost,0.1,1,recall_score,0.8297872340425532
CatBoost,0.1,1,f1_score,0.8387096774193549
CatBoost,0.15,1,accuracy_score,0.8625
CatBoost,0.15,1,precision_score,0.86
CatBoost,0.15,1,recall_score,0.9148936170212766
CatBoost,0.15,1,f1_score,0.8865979381443299
CatBoost,0.2,1,accuracy_score,0.85
CatBoost,0.2,1,precision_score,0.8301886792452831
CatBoost,0.2,1,recall_score,0.9361702127659575
CatBoost,0.2,1,f1_score,0.88
Bagging,0.0,2,accuracy_score,0.75
Bagging,0.0,2,precision_score,0.7142857142857143
Bagging,0.0,2,recall_score,0.7894736842105263
Bagging,0.0,2,f1_score,0.75
Bagging,0.05,2,accuracy_score,0.7875
Bagging,0.05,2,precision_score,0.7560975609756098
Bagging,0.05,2,recall_score,0.8157894736842105
Bagging,0.05,2,f1_score,0.7848101265822784
Bagging,0.1,2,accuracy_score,0.7125
Bagging,0.1,2,precision_score,0.6829268292682927
Bagging,0.1,2,recall_score,0.7368421052631579
Bagging,0.1,2,f1_score,0.7088607594936709
Bagging,0.15,2,accuracy_score,0.7625
Bagging,0.15,2,precision_score,0.7435897435897436
Bagging,0.15,2,recall_score,0.7631578947368421
Bagging,0.15,2,f1_score,0.7532467532467533
Bagging,0.2,2,accuracy_score,0.8
Bagging,0.2,2,precision_score,0.7619047619047619
Bagging,0.2,2,recall_score,0.8421052631578947
Bagging,0.2,2,f1_score,0.8
MLP Classifier,0.0,2,accuracy_score,0.975
MLP Classifier,0.0,2,precision_score,0.9736842105263158
MLP Classifier,0.0,2,recall_score,0.9736842105263158
MLP Classifier,0.0,2,f1_score,0.9736842105263158
MLP Classifier,0.05,2,accuracy_score,0.975
MLP Classifier,0.05,2,precision_score,0.9736842105263158
MLP Classifier,0.05,2,recall_score,0.9736842105263158
MLP Classifier,0.05,2,f1_score,0.9736842105263158
MLP Classifier,0.1,2,accuracy_score,0.975
MLP Classifier,0.1,2,precision_score,0.9736842105263158
MLP Classifier,0.1,2,recall_score,0.9736842105263158
MLP Classifier,0.1,2,f1_score,0.9736842105263158
MLP Classifier,0.15,2,accuracy_score,0.975
MLP Classifier,0.15,2,precision_score,0.9736842105263158
MLP Classifier,0.15,2,recall_score,0.9736842105263158
MLP Classifier,0.15,2,f1_score,0.9736842105263158
MLP Classifier,0.2,2,accuracy_score,0.95
MLP Classifier,0.2,2,precision_score,0.9473684210526315
MLP Classifier,0.2,2,recall_score,0.9473684210526315
